system,game_name,rom_path,image_status,full_rom_path,gamelist_path
megadrive,Astebros,Astebros (2023)(NeoFID Studios).bin,balise image absente,D:\recalbox\roms\megadrive\Astebros (2023)(NeoFID Studios).bin,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,Mega Man The Sequel Wars Episode Red v1_1,Mega Man The Sequel Wars Episode Red v1_1.bin,balise image absente,D:\recalbox\roms\megadrive\Mega Man The Sequel Wars Episode Red v1_1.bin,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,Streets of Rage2_syndicate wars,Streets of Rage2_syndicate wars.bin,balise image absente,D:\recalbox\roms\megadrive\Streets of Rage2_syndicate wars.bin,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,Life On Mars,Life On Mars.smd,balise image absente,D:\recalbox\roms\megadrive\Life On Mars.smd,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,P-47 II MD TheFreedomStar,P-47 II MD TheFreedomStar.BIN,balise image absente,D:\recalbox\roms\megadrive\P-47 II MD TheFreedomStar.BIN,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,Metal Dragon (World) (Aftermarket) (Unl),Metal Dragon (World) (Aftermarket) (Unl).md,balise image absente,D:\recalbox\roms\megadrive\Metal Dragon (World) (Aftermarket) (Unl).md,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,SOR2 Teenage_Mutant_Ninja_Turtles_Shredder's_Re_Revenge,SOR2 Teenage_Mutant_Ninja_Turtles_Shredder's_Re_Revenge.md,balise image absente,D:\recalbox\roms\megadrive\SOR2 Teenage_Mutant_Ninja_Turtles_Shredder's_Re_Revenge.md,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,Task Force Harrier EX Arcade Colors (Hack) v1.01 fusaru,Task Force Harrier EX Arcade Colors (Hack) v1.01 fusaru.md,balise image absente,D:\recalbox\roms\megadrive\Task Force Harrier EX Arcade Colors (Hack) v1.01 fusaru.md,D:/recalbox/roms\megadrive\gamelist.xml
megadrive,James Pond 3,"James Pond 3 (USA, Europe).md",balise image absente,"D:\recalbox\roms\megadrive\James Pond 3 (USA, Europe).md",D:/recalbox/roms\megadrive\gamelist.xml
megadrive,Paperboy,"Paperboy (USA, Europe).md",balise image absente,"D:\recalbox\roms\megadrive\Paperboy (USA, Europe).md",D:/recalbox/roms\megadrive\gamelist.xml
